Time[s], BSYNC, SPI, COPY
0.48200471, 1, 0, 0
0.48200540, 1, 1, 0
0.48200578, 1, 0, 0
0.48200596, 1, 1, 0
0.48200621, 1, 0, 0
0.48200696, 1, 1, 0
0.48200721, 1, 0, 0
0.48203498, 1, 1, 0
0.48203523, 1, 0, 0
0.48203548, 1, 1, 0
0.48203573, 1, 0, 0
0.48204326, 0, 0, 0
0.48204427, 1, 0, 0
0.48204929, 1, 1, 0
0.48204930, 1, 0, 0
0.48204979, 1, 1, 0
0.48204980, 1, 0, 0
0.48204993, 1, 1, 0
0.48204999, 1, 0, 0
0.48205023, 1, 1, 0
