Time[s], BSYNC, VIDEO, INTENS
1.01104891, 1, 0, 0
1.01107140, 0, 0, 0
1.01107341, 1, 0, 0
1.01107742, 1, 1, 1
1.01107753, 1, 0, 0
1.01107770, 1, 1, 1
1.01107780, 1, 0, 0
1.01107842, 1, 1, 0
1.01107847, 1, 0, 0
1.01107859, 1, 1, 0
1.01107897, 1, 0, 0
1.01107909, 1, 1, 0
1.01107914, 1, 0, 0
1.01107925, 1, 1, 0
1.01107947, 1, 0, 0
1.01107959, 1, 1, 0
1.01107964, 1, 0, 0
1.01107975, 1, 1, 0
1.01108053, 1, 0, 0
1.01108064, 1, 1, 0
1.01108091, 1, 0, 0
1.01108103, 1, 1, 0
1.01108119, 1, 0, 0
1.01108131, 1, 1, 0
1.01108164, 1, 0, 0
1.01108176, 1, 1, 0
1.01108191, 1, 0, 0
1.01108248, 1, 1, 1
1.01108258, 1, 0, 0
1.01108270, 1, 1, 1
1.01108280, 1, 0, 1
1.01108281, 1, 0, 0
1.01108353, 1, 1, 0
1.01108369, 1, 0, 0
1.01108381, 1, 1, 0
1.01108397, 1, 0, 0
1.01108409, 1, 1, 0
1.01108414, 1, 0, 0
1.01108426, 1, 1, 0
1.01108447, 1, 0, 0
1.01108459, 1, 1, 0
1.01108464, 1, 0, 0
1.01108476, 1, 1, 0
1.01108553, 1, 0, 0
1.01108565, 1, 1, 0
1.01108597, 1, 0, 0
1.01108609, 1, 1, 0
1.01108619, 1, 0, 0
1.01108631, 1, 1, 0
1.01108664, 1, 0, 0
1.01108676, 1, 1, 0
1.01108692, 1, 0, 0
1.01108748, 1, 1, 1
1.01108758, 1, 0, 0
1.01108792, 1, 1, 1
1.01108803, 1, 0, 0
1.01108820, 1, 1, 1
1.01108831, 1, 0, 0
1.01108842, 1, 1, 0
1.01108847, 1, 0, 0
1.01108859, 1, 1, 0
1.01108869, 1, 0, 0
1.01108881, 1, 1, 0
1.01108892, 1, 0, 0
1.01108903, 1, 1, 0
1.01108919, 1, 0, 0
1.01108931, 1, 1, 0
1.01108942, 1, 0, 0
1.01108953, 1, 1, 0
1.01108958, 1, 0, 0
1.01108964, 1, 1, 0
1.01108969, 1, 0, 0
1.01108981, 1, 1, 0
1.01108997, 1, 0, 0
1.01109009, 1, 1, 0
1.01109014, 1, 0, 0
1.01109026, 1, 1, 0
1.01109053, 1, 0, 0
1.01109065, 1, 1, 0
1.01109069, 1, 0, 0
1.01109081, 1, 1, 0
1.01109092, 1, 0, 0
1.01109103, 1, 1, 0
1.01109119, 1, 0, 0
1.01109131, 1, 1, 0
1.01109153, 1, 0, 0
1.01109165, 1, 1, 0
1.01109169, 1, 0, 0
1.01109181, 1, 1, 0
1.01109192, 1, 0, 0
1.01109248, 1, 1, 1
1.01109258, 1, 0, 0
1.01109292, 1, 1, 1
1.01109303, 1, 0, 0
1.01109320, 1, 1, 1
1.01109331, 1, 0, 0
1.01109342, 1, 1, 0
1.01109347, 1, 0, 0
1.01109359, 1, 1, 0
1.01109369, 1, 0, 0
1.01109381, 1, 1, 0
1.01109392, 1, 0, 0
1.01109404, 1, 1, 0
1.01109419, 1, 0, 0
1.01109431, 1, 1, 0
1.01109442, 1, 0, 0
1.01109453, 1, 1, 0
1.01109458, 1, 0, 0
1.01109465, 1, 1, 0
1.01109469, 1, 0, 0
1.01109481, 1, 1, 0
1.01109497, 1, 0, 0
1.01109509, 1, 1, 0
1.01109519, 1, 0, 0
1.01109531, 1, 1, 0
1.01109542, 1, 0, 0
1.01109553, 1, 1, 0
1.01109569, 1, 0, 0
1.01109581, 1, 1, 0
1.01109592, 1, 0, 0
1.01109603, 1, 1, 0
1.01109620, 1, 0, 0
1.01109631, 1, 1, 0
1.01109653, 1, 0, 0
1.01109665, 1, 1, 0
1.01109669, 1, 0, 0
1.01109681, 1, 1, 0
1.01109692, 1, 0, 0
1.01111941, 0, 0, 0
1.01112142, 1, 0, 0
1.01112543, 1, 1, 1
1.01112553, 1, 0, 0
1.01112570, 1, 1, 1
1.01112581, 1, 0, 0
1.01112665, 1, 1, 0
1.01112692, 1, 0, 0
1.01112721, 1, 1, 0
1.01112742, 1, 0, 0
1.01112771, 1, 1, 0
1.01112853, 1, 0, 0
1.01112876, 1, 1, 0
1.01112892, 1, 0, 0
1.01112904, 1, 1, 0
1.01112920, 1, 0, 0
1.01112932, 1, 1, 0
1.01112953, 1, 0, 0
1.01112976, 1, 1, 0
1.01112992, 1, 0, 0
1.01113054, 1, 1, 1
1.01113075, 1, 0, 0
